sku;nama;jumlah;kategori;satuan;harga_beli;harga_jual;supplier;lokasi
[B0010152Z];BERAS MEDIUM HASIL REPROSES LOGO BANTUAN PANGAN 10 KG PSO DN; 70.089 ;Beras;Kg;0;0;Manager Pengolahan;
[B0010193Z];BERAS MEDIUM HASIL GILING 25% POLOS 50 KG PSO DN; 92.300 ;Beras;Pcs;0;0;RTR DKI Jakarta & Banten;
[B0100151X];MINYAK GORENG POUCH MINYAKITA 1 L KOM DN; 4.420 ;Minyak;Liter;0;0;PT Agro Indo Sejahtera;
[A0010009Y];BERAS MEDIUM PAKISTAN 5% LOGO BULOG 50 KG PSO LN; 24 ;Beras;Kg;0;0;Jasa Prima Logistik;
[A0010011Y];BERAS MEDIUM THAILAND 5% LOGO BULOG 50 KG PSO LN; 6.231 ;Beras;Kg;0;0;Jasa Prima Logistik;
[A0020003X];BERAS PREMIUM PREMIUM 10% POLOS 50 KG KOM DN; 4 ;Beras;Kg;0;0;Jasa Prima Logistik;
[A0060004X];GULA GKP PT GMM 50 KG KOM DN; 859 ;Gula;Kg;0;0;PT Ghendis Multi Manis;
[A0210001X];FORTIFIED RICE KERNELS  POLOS 25 KG KOM DN; 33 ;Beras;Kg;0;0;Jasa Prima Logistik;
[B0010053Z];BERAS MEDIUM HASIL REPROSES POLOS 50 KG PSO DN; 6.339 ;Beras;Kg;0;0;Manager Pengolahan;
[B0010134Y];BERAS MEDIUM THAILAND 5% LOGO SPHP 5 KG PSO LN; 34.080 ;Beras;Kg;0;0;Jasa Prima Logistik;
[B0020040A];BERAS PREMIUM PREMIUM 15% PUNOKAWAN 5 KG UBI KOM DN; 564 ;Beras;Kg;0;0;RTR DKI Jakarta & Banten;
[B0020046A];BERAS PREMIUM PREMIUM 15% BEFOOD SLYP SUPER EDISI RAMADHAN 5 KG UBI KOM DN; 46 ;Beras;Kg;0;0;RTR DKI Jakarta & Banten;
[B0020168X];BERAS PREMIUM PREMIUM 15% POLOS 2,5 KG KOM DN; 16.500 ;Beras;Kg;0;0;SAMARA JAYA;
[B0020194X];BERAS PREMIUM PREMIUM 15% BEFOOD SETRA RAMOS BERAS PREMIUM 5 KG KOM DN; 265 ;Beras;Kg;0;0;RTR DKI Jakarta & Banten;
[B0020411X];BERAS PREMIUM PREMIUM 15% PUNOKAWAN 3 KG KOM DN; 759 ;Beras;Kg;0;0;RTR DKI Jakarta & Banten;
[B0030028X];BERAS KHUSUS BERAS MERAH CAPING EMAS 1 KG KOM DN; 49 ;Beras;Kg;0;0;Manager Pengolahan;
[B0030038X];BERAS KHUSUS FORTIFIKASI FORTIVIT 1 KG KOM DN; 1.185 ;Beras;Kg;0;0;Manager Pengolahan;
[B0060003X];GULA GKP MANISKITA 1 KG KOM DN; 65.030 ;Gula;Kg;0;0;Manager Pengolahan;
[B0100017X];MINYAK GORENG POUCH JUJUR 1 L KOM DN; 5.411 ;Minyak;Liter;0;0;PT Sinar Mas Agro Resources And Technology TBK;
[B0100219X];MINYAK GORENG BOTOL MINYAK GORENG KITA 1 L KOM DN; 686 ;Minyak;Liter;0;0;PT Sinar Mas Agro Resources And Technology TBK;
[B0100243Z];MINYAK GORENG POUCH MINYAKITA BANTUAN PANGAN 1 L PSO DN; 10 ;Minyak;Liter;0;0;PT Sinar Mas Agro Resources And Technology TBK;
[B0100249X];MINYAK GORENG POUCH BEFOOD 1 L KOM DN; 221 ;Minyak;Liter;0;0;PT Sinar Mas Agro Resources And Technology TBK;
[B0110014X];TEPUNG TERIGU STUPA HIJAU 1 KG KOM DN; 4.481 ;Tepung;Kg;0;0;Jasa Prima Logistik;
[B0220011X];KOMODITAS LAIN IKAN KALENG SARDEN ABC 425 GR KOM DN; 16.337 ;Sarden;Pcs;0;0;SAMARA JAYA;
[B0220087X];KOMODITAS LAIN TEH CELUP CELUP SOSRO 50 GR KOM DN; 16.346 ;Teh;Pcs;0;0;SAMARA JAYA;
[B0220186X];KOMODITAS LAIN MARGARIN FILMA 200 GR KOM DN; 32.874 ;Margarin;Pcs;0;0;SAMARA JAYA;
[B0220505X];KOMODITAS LAIN KECAP BOTOL BANGO 189 ML KOM DN; 3 ;Kecap;Pcs;0;0;SAMARA JAYA;
[B0220549X];KOMODITAS LAIN KOPI KAPAL API 350 GR KOM DN; 16.500 ;Kopi;Pcs;0;0;SAMARA JAYA;
[B0220608X];KOMODITAS LAIN SUSU KENTAL MANIS INDOMILK 535 GR KOM DN; 16.537 ;Susu;Pcs;0;0;SAMARA JAYA;
[D0200084X];KEMASAN PLASTIK PRINTING VACUUM FORTIVIT 5 KG KOM DN; 4.066 ;Kemasan;Pcs;0;0;Jasa Prima Logistik;
[D0200130X];KEMASAN KARDUS GULA MANISKITA 24 KG KOM DN; 17.126 ;Kemasan;Pcs;0;0;Jasa Prima Logistik;
